dcterms:identifier,AI Title,Subjects,subj,wikidata,Description,xml,ARK ID(2),thumbnail,dcterms:title,Title,Type,HebrewDate,Hebrew Date,dcterms:date,unixtime,date written,hasFormat,Link,Ark,Collection,Collection uri,Duplicate,Refers to the Occident,dcterms:identifier 2,dcterms:identifier 2 1,dcterms:creator,dcterms:creator 1,dcterms:creator 2,dcterms:creator 3,dcterms:creator 4,dcterms:creator 5,dcterms:creator 6,dcterms:creator 7,dcterms:creator 8,dcterms:creator 9,dcterms:creator 10,dcterms:creator 11,dcterms:creator 12,dcterms:creator 13,"dcterms:creator,uri",dcterms:source,fromLocation,fromLocationwikidata,dcterms:spatialcoverage,Getty Thesaurus of Geographic Names ID,author latitude,author longitude,toLocation,recipient latitude,recipient longitude,dcterms:contributor,dcterms:contributor 1,dcterms:contributor 2,dcterms:contributor 3,dcterms:format,dcterms:language,Column,bookseller_editor,agent,correspondent,Religious Leader,Christian,Postmaster,URL 2,filepath,Wikibase editing results
LSDCBx1FF9_48,Letter from Simon C. Noot to Isaac Leeser Regarding a New School Building in New York City,Educational institutions|Hebrew studies|New York City,Educational institutions,"""Educational institutions","Letter from Simon C. Nool of New York City to Isaac Leeser in Philadelphia, dated August 23, 1852. Nool informs Leeser about the construction of a new school building in New York City, describing its features and academic programs, including Hebrew studies. He also mentions a young pupil from his congregation who successfully performed the reading of the Torah.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSDCBx1FF9_48.xml,ark:/81431/p39z90z2c,"https://iiif-images.library.upenn.edu/iiif/2/71909322-d470-49ac-9b0a-561b82f538c9%2Faccess/full/!600,600/0/default.jpg","Letter from Simon Cohen Noot to Isaac Leeser;August 23, 1852","Letter to Isaac Leeser from Noot, Simon Cohen;August 23, 1852",Letter,ח׳ בֶּאֱלוּל תרי״ב,23 August 5611,1852-08-23,-3703449600,"August 23, 1852",https://colenda.library.upenn.edu/items/ark:/81431/p39z90z2c/manifest,https://colenda.library.upenn.edu/catalog/81431-p39z90z2c,ark:/81431/p39z90z2c,The Dropsie College Isaac Leeser Collection at the Penn Libraries,http://www.wikidata.org/wiki/Q124516100,,,ilcajs_b1f9_0046,,Simon Cohen Noot,Simon Cohen Noot,,,,,,,,,,,,,,http://leeser.library.upenn.edu/documentDisplay.php?id=LSDCBx1FF9_48,New York City,Q60,New York City,7007567,40.71427,-74.00597,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 2 page(s) on 2 sheet(s).,English,English,,,,,,,ilcajs_b1f9_0046_1r.jpg|ilcajs_b1f9_0046_2v.jpg,,
LSDCBx2FF10_41,"Letter from E. Marcuson to Isaac Leeser, October 20, 1863",Family separation|Newspaper accusations|Religious books,Family separation,Family separation,"Letter from E. Marcuson in St. Paul, Minnesota to Isaac Leeser in Philadelphia, Pennsylvania. Marcuson discusses accusations made against him in a newspaper by Dr. Wise, explaining his absence from his family. He clarifies that he was engaged in Nashville, then Memphis, and Davenport, where he was ill for five weeks. He hopes to send money to his family as soon as possible and plans to send Leeser money for religious books.  The letter includes Hebrew characters.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSDCBx2FF10_41.xml,ark:/81431/p30g3hj3s,"https://iiif-images.library.upenn.edu/iiif/2/8da926aa-a317-4cbf-b3db-e693c2dfb77a%2Faccess/full/!600,600/0/default.jpg","Letter from E. Marcuson to Isaac Leeser;October 20, 1863","Letter to Isaac Leeser from Marcuson, E.;October 20, 1863",Letter,ז׳ בְּחֶשְׁוָן תרכ״ד,5623,1863-10-20,-3351369600,"October 20, 1863",https://colenda.library.upenn.edu/items/ark:/81431/p30g3hj3s/manifest,https://colenda.library.upenn.edu/catalog/81431-p30g3hj3s,ark:/81431/p30g3hj3s,The Dropsie College Isaac Leeser Collection at the Penn Libraries,http://www.wikidata.org/wiki/Q124516100,,,ilcajs_b2f10_0041,,E. Marcuson,"Marcuson, E.",,,,,,,,,,,,,,http://leeser.library.upenn.edu/documentDisplay.php?id=LSDCBx2FF10_41,Saint Paul,Q28848,Saint Paul,7013947,44.94441,-93.09327,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 2 page(s) on 1 sheet(s).,English,English,,,,,,,ilcajs_b2f10_0041_1r.jpg|ilcajs_b2f10_0041_1v.jpg,,
LSKAP0054,"Election Results of Congregation Shanuari Hassed, New Orleans, 1849",Congregation Shanuari Hassed|Election results|Occident,Congregation Shanuari Hassed,Congregation Shanuari Hassed,"Letter from M. Kursheedt, secretary of Congregation Shanuari Hassed in New Orleans, to Isaac Leeser, editor of the Occident.  Kursheedt provides the results of the congregation's October 21, 1849 election of officers. He also mentions a Reverend Mr. Henry who had been selected as Hazan for a congregation in Cincinnati.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSKAP0054.xml,ark:/81431/p34746w9n,"https://iiif-images.library.upenn.edu/iiif/2/c0b6013b-d2d5-4d79-b77c-ae080f57eda6%2Faccess/full/!600,600/0/default.jpg","Letter from M. Kursheedt to Isaac Leeser;November 09, 1849","Letter to Isaac Leeser from Kursheedt, M.;November 09, 1849",Letter,כ״ד בְּחֶשְׁוָן תר״י,,1849-11-09,-3791404800,"November 09, 1849",https://colenda.library.upenn.edu/items/ark:/81431/p34746w9n/manifest,https://colenda.library.upenn.edu/catalog/81431-p34746w9n,ark:/81431/p34746w9n,Arnold and Deanne Kaplan Isaac Leeser Collection,http://www.wikidata.org/wiki/Q124370244,,True,LSKAP0054,,M. Kursheedt,"Kursheedt, M.",,,,,,,,,,,,,,http://leeser.library.upenn.edu/documentDisplay.php?id=LSKAP0054,New Orleans,Q34404,New Orleans,7014214,29.95465,-90.07507,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 2 page(s) on 1 sheet(s).,English,English,,,,,,,,,
LSDCBx3FF4a_4,Letter from Jonah Bondi to Isaac Leeser Regarding a Complex Case of Jewish Law and Status,Jewish law|Conversion|Family law,Jewish law,Jewish law,"Letter from Jonas Bondi to Isaac Leeser discussing a complex matter involving a potential Cohen's invalidity and the Jewish status of a woman. Bondi seeks Leeser's advice and guidance, expressing concerns about tradition and the need for a definitive solution. The letter also touches upon Bondi's editorial work, criticizes the administration of a free school, and requests Leeser's feedback on a translation.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSDCBx3FF4a_4.xml,ark:/81431/p36q1t36n,"https://iiif-images.library.upenn.edu/iiif/2/c5bcb31c-29ea-4119-8848-37823127cc9e%2Faccess/full/!600,600/0/default.jpg","Letter from Jonas Bondi to Isaac Leeser;November 20, 1865","Letter to Isaac Leeser from Bondi, Jonas;November 20, 1865",Letter,ב׳ בְּכִסְלֵו תרכ״ו,2 Kislev 5626,1865-11-20,-3285532800,"November 20, 1865",https://colenda.library.upenn.edu/items/ark:/81431/p36q1t36n/manifest,https://colenda.library.upenn.edu/catalog/81431-p36q1t36n,ark:/81431/p36q1t36n,The Dropsie College Isaac Leeser Collection at the Penn Libraries,http://www.wikidata.org/wiki/Q124516100,,,ilcajs_b3f4a_0004,,Jonas Bondi,Jonas Bondi,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q55848625,http://leeser.library.upenn.edu/documentDisplay.php?id=LSDCBx3FF4a_4,New York City,Q60,New York City,7007567,40.71427,-74.00597,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 2 page(s) on 1 sheet(s).,Yiddish | English,English | Hebrew,TRUE,,,,,,ilcajs_b3f4a_0004_1r.jpg|ilcajs_b3f4a_0004_1v.jpg,,
LSDCBx3FF14_31,A Poem of Criticism and a Plea for Return to Zion,Poetry|Criticism|Zionism,Poetry,Poetry,"This letter contains a poem written in English and Hebrew, criticizing an unnamed individual for their actions and beliefs.  The poem describes this person as a 'wicked man,' a 'destroyer of the memory of the Faith,' and accuses them of various misdeeds. The poem concludes with a hope for a return to Zion.  The letter is signed by Baruch Shelomo Levinthal and Isaac Goldstein.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSDCBx3FF14_31.xml,,,Letter from Shelomo Baruch Levinthal and Isaac Goldstein to Isaac Leeser,Letter from Shelomo Baruch Levinthal and Isaac Goldstein to Isaac Leeser,Letter,,,,,,,,,The Dropsie College Isaac Leeser Collection at the Penn Libraries,http://www.wikidata.org/wiki/Q124516100,,,,,Baruch Shelomo Levinthal|Isaac Goldstein,"Levinthal, Baruch Shelomo","Goldstein, Isaac",,,,,,,,,,,,,http://leeser.library.upenn.edu/documentDisplay.php?id=LSDCBx3FF14_31,,,Philadelphia,,,,Philadelphia,,,Isaac Leeser,Isaac Leeser,,,Letter. 1 page(s) on 1 sheet(s).,English | Hebrew,English | Hebrew,,,,,,,,,
LSKAP0111,Letter from Isaac Mayer Wise to Isaac Leeser Regarding *The Occident* Subscriptions and Accounts,The Occident|Finances|Tefillot,The Occident,The Occident,"Letter from Dr. Isaac Mayer Wise in Albany, NY, to Isaac Leeser in Philadelphia, PA.  Wise requests Leeser send copies of *The Occident* to several individuals in Albany and Hudson, NY. He also mentions a payment issue with a former agent, Mr. Nysinger, who is in prison, and asks Leeser to send him a statement regarding his account for *Tefillot*.  Wise apologizes for the brevity of the letter, explaining that he is ill.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSKAP0111.xml,ark:/81431/p3mc8rn01,"https://iiif-images.library.upenn.edu/iiif/2/e5cded8a-c678-49a7-b6ca-2d0b62076743%2Faccess/full/!600,600/0/default.jpg",Letter from Isaac Mayer Wise to Isaac Leeser,,Letter,,,July 31,,,https://colenda.library.upenn.edu/items/ark:/81431/p3mc8rn01/manifest,https://colenda.library.upenn.edu/catalog/81431-p3mc8rn01,ark:/81431/p3mc8rn01,Arnold and Deanne Kaplan Isaac Leeser Collection,http://www.wikidata.org/wiki/Q124370244,,,LSKAP0111,,Isaac Mayer Wise,Isaac Mayer Wise,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1673434,http://leeser.library.upenn.edu/documentDisplay.php?id=LSKAP0111,Albany,Q24861,Albany,7013266,42.65258,-73.75623,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 2 page(s) on 1 sheet(s).,English,English,,,,,,,LSKAP0111_1r.jpg|LSKAP0111_1v.jpg,,https://www.wikidata.org/w/index.php?diff=prev&oldid=2401507296
LSDCBx2FF4_65,"Letter from Abraham de Sola to Isaac Leeser, August 25, 1857",Travel plans|Social Visits|Communication,Travel plans,Travel plans,"Letter from Abraham de Sola in New York City to Isaac Leeser in Philadelphia. De Sola writes that he is in New York for a few days and plans to visit Philadelphia. He has written to Mrs. E.P. Cohen to inform her of his intention to visit, and asks Leeser to forward the letter as he does not know her address. He plans to leave no later than Friday morning.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSDCBx2FF4_65.xml,ark:/81431/p3sj1bb52,"https://iiif-images.library.upenn.edu/iiif/2/e9efded6-1cea-483a-80c1-46032b4a93b0%2Faccess/full/!600,600/0/default.jpg","Letter from Abraham de Sola to Isaac Leeser;August 25, 1857","Letter to Isaac Leeser from Sola, Abraham de;August 25, 1857",Letter,ה׳ בֶּאֱלוּל תרי״ז,,1857-08-25,-3545510400,"August 25, 1857",https://colenda.library.upenn.edu/items/ark:/81431/p3sj1bb52/manifest,https://colenda.library.upenn.edu/catalog/81431-p3sj1bb52,ark:/81431/p3sj1bb52,The Dropsie College Isaac Leeser Collection at the Penn Libraries,http://www.wikidata.org/wiki/Q124516100,,,ilcajs_b2f4_0062,,Abraham de Sola,Abraham de Sola,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q2821870,http://leeser.library.upenn.edu/documentDisplay.php?id=LSDCBx2FF4_65,New York City,Q60,New York City,7007567,40.71427,-74.00597,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 1 page(s) on 1 sheet(s).,English,English,,,,,,,,,
LSDCBx1FF8_5,Financial Report and Commentary on Julius Eckman,Sales of Hebrew books|The Occident|Julius Eckman,Sales of Hebrew books,Sales of Hebrew books,"Letter from N. Ezekiel to Isaac Leeser regarding sales of Hebrew books and the Occident, and commenting on Julius Eckman. Ezekiel encloses a draft for $31.35 and an account.  He details sales of various books to several individuals, including Jacob A. Levy, Lewis B. Levy, Miss Hays, A. Mailert, Isaac Lehriner, Henry Hyman, Mrs. C. Philip, and Wm. Thathimer. He also notes that Miss Hays has taken the Occident and that Revd. Max Mieklebocker has not paid for any volumes. He expresses his opinion about Eckman's actions, calling him a hypocrite.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSDCBx1FF8_5.xml,ark:/81431/p3z02zv83,"https://iiif-images.library.upenn.edu/iiif/2/d8cfdc35-e70a-4eff-bb61-c68c56c41948%2Faccess/full/!600,600/0/default.jpg","Letter from N. Ezekiel to Isaac Leeser;July 11, 1851","Letter to Isaac Leeser from Ezekiel, N.;July 11, 1851",Letter,י״א בְּתַמּוּז תרי״א,,1851-07-11,-3738787200,"July 11, 1851",https://colenda.library.upenn.edu/items/ark:/81431/p3z02zv83/manifest,https://colenda.library.upenn.edu/catalog/81431-p3z02zv83,ark:/81431/p3z02zv83,The Dropsie College Isaac Leeser Collection at the Penn Libraries,http://www.wikidata.org/wiki/Q124516100,,,ilcajs_b1f8_0004,,N. Ezekiel,"Ezekiel, N.",,,,,,,,,,,,,,http://leeser.library.upenn.edu/documentDisplay.php?id=LSDCBx1FF8_5,Richmond,Q43421,Richmond,7013964,37.55376,-77.46026,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 3 page(s) on 2 sheet(s).,English,English,,,,,,,ilcajs_b1f8_0004_1r.jpg|ilcajs_b1f8_0004_2r.jpg|ilcajs_b1f8_0004_2v.jpg,,
LSDCBx2FF5_3,Donation for Beth El Synagogue and Curaçao Exhibition Announcement,Beth El Synagogue|Curacao|Charitable Donations,Beth El Synagogue,Beth El Synagogue,"Letter from B. De Cafferes Jr. in Curacao to Isaac Leeser in Philadelphia, dated February 13, 1858.  De Cafferes writes to Leeser regarding a donation of forty dollars collected from friends for the new Beth El Synagogue in Philadelphia. He mentions a previous remittance of $68 and explains the delay in sending the current donation due to his absence from home.  He also discusses an upcoming exhibition on April 19th, the proceeds of which will be distributed among the Israelite, Protestant, and Catholic communities.  The letter mentions the names of individuals involved in organizing the exhibition. The letter includes a wax seal.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSDCBx2FF5_3.xml,ark:/81431/p3d50gh7b,"https://iiif-images.library.upenn.edu/iiif/2/edbf1a92-275e-4f7e-a2ee-6445b2bcb043%2Faccess/full/!600,600/0/default.jpg","Letter from Jr. B. De Casseres to Isaac Leeser;February 13, 1858","Letter to Isaac Leeser from De Casseres, B., Jr.;February 13, 1858",Letter,כ״ט בִּשְׁבָט תרי״ח,,1858-02-13,-3530649600,"February 13, 1858",https://colenda.library.upenn.edu/items/ark:/81431/p3d50gh7b/manifest,https://colenda.library.upenn.edu/catalog/81431-p3d50gh7b,ark:/81431/p3d50gh7b,The Dropsie College Isaac Leeser Collection at the Penn Libraries,http://www.wikidata.org/wiki/Q124516100,,,ilcajs_b2f5_0003,,Jr. B. De Casseres,"De Casseres, B., Jr.",,,,,,,,,,,,,,http://leeser.library.upenn.edu/documentDisplay.php?id=LSDCBx2FF5_3,Curaçao,Q25279,Curaçao,7593111,12.16667,-68.96667,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 2 page(s) on 2 sheet(s).,English,English,,,,,,,ilcajs_b2f5_0003_1r.jpg|ilcajs_b2f5_0003_2v.jpg,,
LSKAP0238,The Suicide of E. L. Andrews: A Letter from Mobile,Suicide|Financial troubles|Antisemitism,Suicide,Suicide,"Six-page letter from S. Wolff in Mobile, Alabama, to Isaac Leeser in Philadelphia, Pennsylvania, discussing the apparent suicide of E. L. Andrews, a Mobile businessman. Wolff details the circumstances surrounding Andrews's death, including his financial troubles and the discovery of his body.  The letter also mentions the disappearance of Andrews's brother, Z. Andrews, of New Orleans, and the prevailing prejudices against Jews in Mobile. Wolff concludes by requesting a book and inquiring about business prospects.",https://raw.githubusercontent.com/judaicadh/leeser/main/TEI/LSKAP0238.xml,ark:/81431/p3zn07,"https://iiif-images.library.upenn.edu/iiif/2/95522e02-47a3-4fcf-89fe-3d7f2d15f071%2Faccess/full/!600,600/0/default.jpg","Letter from S. Wolff to Isaac Leeser;April 21, 1848","Letter to Isaac Leeser from Wolff, S.;April 21, 1848",Letter,י״ח בְּנִיסָן תר״ח,,1848-04-21,-3840393600,"April 21, 1848",https://colenda.library.upenn.edu/items/ark:/81431/p3zn07/manifest,https://colenda.library.upenn.edu/catalog/81431-p3zn07,ark:/81431/p3zn07,Arnold and Deanne Kaplan Isaac Leeser Collection,http://www.wikidata.org/wiki/Q124370244,,,LSKAP0238,,S. Wolff,"Wolff, S.",,,,,,,,,,,,,,http://leeser.library.upenn.edu/documentDisplay.php?id=LSKAP0238,Mobile,Q79875,Mobile,,30.69436,-88.04305,Philadelphia,39.95233,-75.16379,Isaac Leeser,Isaac Leeser,,,Letter. 6 page(s) on 3 sheet(s).,English,English,,,,,,,LSKAP0238_1r.jpg|LSKAP0238_1v.jpg|LSKAP0238_2r.jpg|LSKAP0238_2v.jpg|LSKAP0238_3r.jpg|LSKAP0238_3v.jpg,,
